,Author,Genre,Title
0, Rick Riordan,children,The Tower of Nero by Rick Riordan
1, Katherine Applegate,children,The One and Only Bob by Katherine Applegate
2, Jacqueline Woodson,children,Before the Ever After by Jacqueline Woodson
3, Jessica  Townsend,children,Hollowpox by Jessica  Townsend
4, Janae Marks,children,From the Desk of Zoe Washington by Janae Marks
5, Erin Entrada Kelly,children,We Dream of Space by Erin Entrada Kelly
6, Claribel A. Ortega,children,Ghost Squad by Claribel A. Ortega
7, James Patterson,children,Ali Cross by James Patterson
8, Roshani Chokshi,children,Aru Shah and the Tree of Wishes by Roshani Chokshi
9, Nic Stone,children,Clean Getaway by Nic Stone
10, Sara Pennypacker,children,Here in the Real World by Sara Pennypacker
11, Chris Colfer,children,A Tale of Witchcraft... by Chris Colfer
12, Shannon Messenger,children,Unlocked by Shannon Messenger
13, Ricky Tims,children,Lizzy Albright and the Attic Window by Ricky Tims
14, Kimberly Brubaker Bradley,children,Fighting Words by Kimberly Brubaker Bradley
15, Alice Oseman,comical,Heartstopper by Alice Oseman
16, Sarah Andersen,comical,Fangs by Sarah Andersen
17, Your Bookshelf ,comical,I Will Judge You by Your Bookshelf by Grant Snider
18, David Vandermeulen,,Sapiens by David Vandermeulen
19, Ina Garten,cook books,Modern Comfort Food by Ina Garten
20, Gordon Ramsay,cook books,Gordon Ramsay Quick and Delicious by Gordon Ramsay
21, Joanna Gaines,cook books,Magnolia Table by Joanna Gaines
22, David Chang,cook books,Eat a Peach by David Chang
23, Theresa Carle-Sanders,cook books,Outlander Kitchen by Theresa Carle-Sanders
24, Mena Massoud,cook books,Evolving Vegan by Mena Massoud
25, Ree Drummond,cook books,Frontier Follies by Ree Drummond
26, Bryant Terry,cook books,Vegetable Kingdom by Bryant Terry
27, Victoria James,cook books,Wine Girl by Victoria James
28, Dzung Lewis,cook books,The Honeysuckle Cookbook by Dzung Lewis
29, Kristin Cavallari,cook books,True Comfort by Kristin Cavallari
30, Bill Buford,cook books,Dirt by Bill Buford
31, Claire Saffitz,cook books,Dessert Person by Claire Saffitz
32, Angela Liddon,cook books,Oh She Glows for Dinner by Angela Liddon
33, Cortney Burns,cook books,Nourish Me Home by Cortney Burns
34, Sarah J. Maas,fanatasy,House of Earth and Blood by Sarah J. Maas
35, V.E. Schwab,fanatasy,The Invisible Life of Addie LaRue by V.E. Schwab
36, T.J. Klune,fanatasy,The House in the Cerulean Sea by T.J. Klune
37, N.K. Jemisin,fanatasy,The City We Became by N.K. Jemisin
38, Alix E. Harrow,fanatasy,The Once and Future Witches by Alix E. Harrow
39, Susanna Clarke,fanatasy,Piranesi by Susanna Clarke
40, S.A. Chakraborty,fanatasy,The Empire of Gold by S.A. Chakraborty
41, Jim Butcher,fanatasy,Peace Talks by Jim Butcher
42, R.F. Kuang,fanatasy,The Burning God by R.F. Kuang
43, Patricia Briggs,fanatasy,Smoke Bitten by Patricia Briggs
44, Mark  Lawrence,fanatasy,The Girl and the Stars by Mark  Lawrence
45, Nghi Vo,fanatasy,The Empress of Salt and Fortune by Nghi Vo
46, Will Wight,fanatasy,Wintersteel by Will Wight
47, Andrea Stewart,fanatasy,The Bone Shard Daughter by Andrea Stewart
48, Joe Abercrombie,fanatasy,The Trouble With Peace by Joe Abercrombie
49, Matt Haig,fiction,The Midnight Library by Matt Haig
50, Fredrik Backman,fiction,Anxious People by Fredrik Backman
51, Jeanine Cummins,fiction,American Dirt by Jeanine Cummins
52, Kate Elizabeth Russell,fiction,My Dark Vanessa by Kate Elizabeth Russell
53, Emily St. John Mandel,fiction,The Glass Hotel by Emily St. John Mandel
54, Yaa Gyasi,fiction,Transcendent Kingdom by Yaa Gyasi
55, Ann Napolitano,fiction,Dear Edward by Ann Napolitano
56, Jennifer Weiner,fiction,Big Summer by Jennifer Weiner
57, Lily King,fiction,Writers & Lovers by Lily King
58, Megha Majumdar,fiction,A Burning by Megha Majumdar
59, Raven Leilani,fiction,Luster by Raven Leilani
60, Suzanne Redfearn,fiction,In an Instant by Suzanne Redfearn
61, Akwaeke Emezi,fiction,The Death of Vivek Oji by Akwaeke Emezi
62, Ayad Akhtar,fiction,Homeland Elegies by Ayad Akhtar
63, Brandon  Taylor,fiction,Real Life by Brandon  Taylor
64, Brit Bennett,historical fiction,The Vanishing Half by Brit Bennett
65, Natalie Jenner,historical fiction,The Jane Austen Society by Natalie Jenner
66, Sue Monk Kidd,historical fiction,The Book of Longings by Sue Monk Kidd
67, Alka Joshi,historical fiction,The Henna Artist by Alka Joshi
68, Ken Follett,historical fiction,The Evening and the Morning by Ken Follett
69, Isabel Allende,historical fiction,A Long Petal of the Sea by Isabel Allende
70, Lisa Wingate,historical fiction,The Book of Lost Friends by Lisa Wingate
71, Emma Donoghue,historical fiction,The Pull of the Stars by Emma Donoghue
72, Maggie O'Farrell,historical fiction,Hamnet by Maggie O'Farrell
73, Amy Harmon,historical fiction,Where the Lost Wander by Amy Harmon
74, James   McBride,historical fiction,Deacon King Kong by James   McBride
75, Louise Erdrich,historical fiction,The Night Watchman by Louise Erdrich
76, David Mitchell,historical fiction,Utopia Avenue by David Mitchell
77, Tiffany   McDaniel,historical fiction,Betty by Tiffany   McDaniel
78, Heather B. Moore,historical fiction,The Paper Daughters of Chinatown by Heather B. Moore
79, Lucy Foley,mystery thriller,The Guest List by Lucy Foley
80, Riley Sager,mystery thriller,Home Before Dark by Riley Sager
81, Simone St. James,mystery thriller,The Sun Down Motel by Simone St. James
82, Tarryn Fisher,mystery thriller,The Wives by Tarryn Fisher
83, Tana French,mystery thriller,The Searcher by Tana French
84, Harlan Coben,mystery thriller,The Boy from the Woods by Harlan Coben
85, Stuart Turton,mystery thriller,The Devil and the Dark Water by Stuart Turton
86, Liz Moore,mystery thriller,Long Bright River by Liz Moore
87, Louise Penny,mystery thriller,All the Devils Are Here by Louise Penny
88, Robert Galbraith,mystery thriller,Troubled Blood by Robert Galbraith
89, Jess Lourey,mystery thriller,Unspeakable Things by Jess Lourey
90, David Heska Wanbli Weiden,mystery thriller,Winter Counts by David Heska Wanbli Weiden
91, Megan Goldin,mystery thriller,The Night Swim by Megan Goldin
92, Rachel Howzell Hall,mystery thriller,And Now She's Gone by Rachel Howzell Hall
93, Lisa Unger,mystery thriller,Confessions on the 7 by Lisa Unger
94, Christopher Paolini,science fiction,To Sleep in a Sea of Stars by Christopher Paolini
95, Tamsyn Muir,science fiction,Harrow the Ninth by Tamsyn Muir
96, Martha Wells,science fiction,Network Effect by Martha Wells
97, Hank Green,science fiction,A Beautifully Foolish Endeavor by Hank Green
98, Lindsay  Ellis,science fiction,Axiom's End by Lindsay  Ellis
99, Ken Liu,science fiction,The Hidden Girl and Other Stories by Ken Liu
100, Diane  Cook,science fiction,The New Wilderness by Diane  Cook
101, Lawrence Wright,science fiction,The End of October by Lawrence Wright
102, John Scalzi,science fiction,The Last Emperox by John Scalzi
103, Simon Jimenez,science fiction,The Vanished Birds by Simon Jimenez
104, M.R. Carey,science fiction,The Book of Koli by M.R. Carey
105, Natalie Zina Walschots,science fiction,Hench by Natalie Zina Walschots
106, David  Wong,science fiction,Zoey Punches the Future in the Dick by David  Wong
107, T.A. White,science fiction,Age of Deception by T.A. White
108, Linden A. Lewis,science fiction,The First Sister by Linden A. Lewis
109, David Attenborough,science technology,A Life on Our Planet by David Attenborough
110, Adam Rutherford,science technology,How to Argue With a Racist by Adam Rutherford
111, James Nestor,science technology,Breath by James Nestor
112, Katie  Mack,science technology,The End of Everything by Katie  Mack
113, Sarah Frier,science technology,No Filter by Sarah Frier
114, Christiana Figueres,science technology,The Future We Choose by Christiana Figueres
115, Bonnie Tsui,science technology,Why We Swim by Bonnie Tsui
116, Helen Macdonald,science technology,Vesper Flights by Helen Macdonald
117, Mark Kenyon,science technology,That Wild Country by Mark Kenyon
118, Patrik Svensson,science technology,The Book of Eels by Patrik Svensson
119, Sonia Shah,science technology,The Next Great Migration by Sonia Shah
120, Brian Greene,science technology,Until the End of Time by Brian Greene
121, Michael Shellenberger,science technology,Apocalypse Never by Michael Shellenberger
122, Jonathan C. Slaght,science technology,Owls of the Eastern Ice by Jonathan C. Slaght
123, Neil Shubin,science technology,Some Assembly Required by Neil Shubin
